Generacion,Max_Fidelidad,Max_Diversidad_Individual,Inercia_Global,Entropia_Global
1,0.4801645278930664,0.841669425368309,0.37293357849121095,0.6909396694862314
2,0.5477295517921448,0.841669425368309,0.37293357849121095,0.6909396694862314
3,0.5477295517921448,0.841669425368309,0.37293357849121095,0.6909396694862314
4,0.6271628737449646,0.841669425368309,0.37293357849121095,0.6909396694862314
5,0.6271628737449646,0.841669425368309,0.37293357849121095,0.6909396694862314
6,0.6607199907302856,0.841669425368309,0.37293357849121095,0.6909396694862314
7,0.669881284236908,0.841669425368309,0.37293357849121095,0.6909396694862314
8,0.7416675090789795,0.841669425368309,0.37293357849121095,0.6909396694862314
9,0.7416675090789795,0.841669425368309,0.37293357849121095,0.6909396694862314
10,0.7416675090789795,0.841669425368309,0.37293357849121095,0.6909396694862314
11,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
12,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
13,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
14,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
15,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
16,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
17,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
18,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
19,0.7943764328956604,0.841669425368309,0.37293357849121095,0.6909396694862314
20,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
21,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
22,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
23,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
24,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
25,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
26,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
27,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
28,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
29,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
30,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
31,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
32,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
33,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
34,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
35,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
36,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
37,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
38,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
39,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
40,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
41,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
42,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
43,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
44,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
45,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
46,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
47,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
48,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
49,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
50,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
51,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
52,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
53,0.8138294816017151,0.841669425368309,0.37293357849121095,0.6909396694862314
54,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
55,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
56,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
57,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
58,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
59,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
60,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
61,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
62,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
63,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
64,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
65,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
66,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
67,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
68,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
69,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
70,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
71,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
72,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
73,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
74,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
75,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
76,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
77,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
78,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
79,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
80,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
81,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
82,0.8138294816017151,0.8799111321568489,0.37293357849121095,0.6909396694862314
83,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
84,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
85,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
86,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
87,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
88,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
89,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
90,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
91,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
92,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
93,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
94,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
95,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
96,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
97,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
98,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
99,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
100,0.8138294816017151,0.8916468024253845,0.37293357849121095,0.6909396694862314
